Student id,name,faculty,place name,reservation date,startdate,startTime,endDate,endTime
1002,Jim,SIT,Science Field,43221,43221,0.375,43221,0.708333333
1003,Ann,SIT,1st Floor Engineer Building,43222,43222,0.375,43222,0.75
1003,Ann,SIT,Science Field,43223,43223,0.375,43223,0.791666667
1004,Sandy,Engineering,FIBO Field,43224,43224,0.375,43224,0.708333333
1004,Sandy,Engineering,Science Field,43225,43225,0.375,43225,0.708333333
1005,Alex,Science,Science Field,43226,43226,0.375,43226,0.708333333
1005,Alex,Science,FIBO Field,43227,43227,0.375,43227,0.708333333
1006,Tony,Liberal Art,Front of SIT,43228,43228,0.375,43228,0.708333333
1007,Sack,Architect,FIBO Field,43229,43229,0.375,43229,0.708333333
1007,Sack,Architect,Front of SIT,43230,43230,0.375,43230,0.708333333
1009,Lee,SIT,FIBO Field,43231,43231,0.375,43231,0.708333333
1010,Wang,Engineering,Front of SIT,43232,43232,0.375,43232,0.708333333
1012,Elisa,Liberal Art,Front of SIT,43233,43233,0.375,43233,0.708333333
1013,Sonny,Architect,FIBO Field,43234,43234,0.375,43234,0.708333333
1013,Sonny,Architect,Science Field,43235,43235,0.375,43235,0.708333333
1014,Simba,SIT,Front of SIT,43236,43236,0.375,43236,0.708333333
1015,jackson,SIT,FIBO Field,43237,43237,0.375,43237,0.708333333
1016,Jonathan,Engineering,FIBO Field,43238,43238,0.375,43238,0.708333333
1017,Tom,Science,Science Field,43239,43239,0.375,43239,0.708333333
1019,Tooky,Architect,Front of SIT,43240,43240,0.375,43240,0.708333333
1019,Tooky,Architect,Front of SIT,43241,43241,0.375,43241,0.708333333
1020,Elsa,SIT,Science Field,43221,43242,0.375,43242,0.708333333
1021,Anna,SIT,Science Field,43222,43243,0.375,43243,0.708333333
1022,Atonio,Engineering,Science Field,43223,43244,0.375,43244,0.708333333
1024,Simpson,Liberal Art,Front of SIT,43224,43245,0.375,43245,0.708333333
1025,John,Architect,Science Field,43225,43246,0.375,43246,0.708333333
